Q6: Scientists have put together a true picture of the ------- effects of tobacco on the human body.

Q8: Ihave always ---------- a problem with my sight glasses.

Q9: - -- can not they sit at the clean table?

Q10: One night Susan and ----------- went to the cinema but we were very late.

Q11: What do you think you ------------- do when you leave school?

Q12: The police caught a thief. --- théiother one ran-away.

Q14: It --------< that bread is aos frigid expensive "eta i aerene

Q16: A. countries B. forest C. landscape D. mountain

Q17: A. dressing B. food C. beaches D. salt

Q18: A. season B. years C. month D. year

Q19: A. abroad B. overseas C. sea D. boat

Q20: A. way B .opportunity C. chance D. occasion

Q21: A. christmas B. century C. decade D. day

Q22: A. places B. land C. island. D. home

Q23: A. category B. class C. levels D. grade

Q24: A. tides B. wave C. fish D. ship

Q25: A. salt B. pot C. raw D. water

